************************************************************************
	Comparison between CCIR Data Bank D1 and ITURHFProp-P533-14():
		    ITU Above and Below the MUF
		        2026-09-24 07:14:41
************************************************************************
									Count	diff.		std

frequency group   2 -  5			 4030	 0.5	 7.7
frequency group > 5 - 10			 4004	 1.9	10.2
frequency group >10 - 15			 5270	 0.5	 9.2
frequency group >15 - 30			 2964	 3.3	12.0

distance      0 -   999 km 			 6439	 2.0	 8.2
distance   1000 -  1999 km 			 1144	 3.8	 8.0
distance   2000 -  2999 km 			  151	 2.3	 6.2
distance   3000 -  3999 km 			  975	 4.9	12.5
distance   4000 -  4999 km 			  126	 0.8	 6.8
distance   5000 -  6999 km 			 2785	-0.2	10.6
distance   7000 -  8999 km 			   59	-2.9	 7.8
distance   9000 - 11999 km 			 2223	-1.0	11.1
distance  12000 - 14999 km 			  607	 0.8	10.2
distance  15000 - 17999 km 			 1093	 1.9	 8.6
distance  18000 - 21999 km 			    0	 0.0	 0.0
distance  22000 - 40000 km 			  666	-0.9	12.2

geom. lat.    0 - 20 deg. at midpt.	 2806	 1.2	10.5
geom. lat. > 20 - 40 deg. at midpt.	 4158	-0.5	 7.1
geom. lat. > 40 - 60 deg. at midpt.	 7188	 2.5	10.0
geom. lat.      > 60 deg. at midpt.	 2116	 1.1	11.6

sunspot number    0 -  14 			 1333	 2.0	 9.5
sunspot number   15 -  44 			 5229	 3.1	 9.8
sunspot number   45 -  74 			 2969	 0.8	 9.2
sunspot number   75 - 104 			 2121	-1.5	 9.2
sunspot number  105 - 149 			 2789	 0.3	 9.6
sunspot number      > 149 			 1827	 1.4	10.4

winter								 3915	 2.0	10.3
spring								 4016	 1.7	 9.7
summer								 4169	 0.4	 9.7
autumn								 4168	 1.2	 9.2

local time > 00 - 04 UTC at midpt.	 2867	 1.4	10.0
local time > 04 - 08 UTC at midpt.	 2280	 4.2	10.8
local time > 08 - 12 UTC at midpt.	 2244	 3.5	 8.5
local time > 12 - 16 UTC at midpt.	 2522	 0.3	10.0
local time > 16 - 20 UTC at midpt.	 3132	-1.1	 9.3
local time > 20 - 24 UTC at midpt.	 3223	 0.9	 9.0

origin of data: Germany				10499	 2.5	10.4
origin of data: Japan				 4119	-1.4	 7.3
origin of data: China				  428	 2.9	 8.6
origin of data: India				  182	-0.7	 9.8
origin of data: Deutsche Welle		  783	-0.2	 9.9
origin of data: BBC/EBU				  161	-2.2	10.1
origin of data: Australia			   96	 0.8	 7.0

all distances < 7000 km 			11620	 1.9	 9.3
all distances > 9000 km 			 4589	-0.1	10.7

all distances						16268	 1.3	 9.7
 
************************************************************************

************************************************************************
 
 ID Transmitter		Receiver	Frequency	Count	diff.		std
 
  1	LUXEMBURG   	BOCKHACKEN 	  6.1		  127	-0.2	 9.3
  2	RANCHI      	CALCUTTA   	  3.3		    3	-6.3	 4.1
  3	SANWA       	AKITA      	  2.5		  372	 0.5	 6.1
  4	SANWA       	AKITA      	  5.0		  380	-1.5	 4.5
  5	KOGANEI     	AKITA      	  2.5		  749	-1.6	 6.5
  6	KOGANEI     	AKITA      	  5.0		  768	 0.1	 5.9
  7	KURSEONG    	CALCUTTA   	  7.2		    4	-2.8	 2.6
  8	BRACKNELL   	NORDDEICH  	  3.3		  528	 1.5	 8.4
  9	BRACKNELL   	NORDDEICH  	  4.8		  336	 0.7	 9.7
 10	BRACKNELL   	NORDDEICH  	  8.0		  336	 1.6	 9.6
 11	BRACKNELL   	NORDDEICH  	 11.1		  336	 5.6	 8.5
 12	BRACKNELL   	NORDDEICH  	 14.4		  336	 6.5	 6.0
 13	BRACKNELL   	NORDDEICH  	 18.3		  264	 6.9	 5.9
 14	BRACKNELL   	BOCKHACKEN 	  8.0		  131	 5.2	 8.8
 15	ALLOUIS     	BOCKHACKEN 	  6.2		  116	-5.0	 7.4
 16	OSLO        	NORDDEICH  	  6.4		  120	-1.8	 7.4
 17	OSLO        	NORDDEICH  	 12.7		  120	 5.5	10.5
 18	OSLO        	NORDDEICH  	 17.1		  120	 1.9	 9.2
 19	OSLO        	NORDDEICH  	 22.4		   55	 1.5	 5.8
 20	OSLO        	LUECHOW    	  6.4		   24	 6.6	 2.4
 21	OSLO        	LUECHOW    	 12.9		   24	22.2	11.6
 22	OSLO        	LUECHOW    	 16.9		   24	17.5	 6.3
 23	OSLO        	LUECHOW    	 22.4		   17	-8.8	 5.3
 24	BRACKNELL   	LUECHOW    	  2.6		  182	 4.3	 5.9
 25	BRACKNELL   	LUECHOW    	  4.8		  216	 3.7	 7.0
 26	BRACKNELL   	LUECHOW    	  8.0		  144	 0.6	 5.8
 27	BRACKNELL   	LUECHOW    	  9.2		   96	 9.3	 6.9
 28	BRACKNELL   	LUECHOW    	 11.1		  144	 1.5	 7.1
 29	BRACKNELL   	LUECHOW    	 14.4		  192	 4.9	 8.7
 30	BRACKNELL   	LUECHOW    	 18.3		  151	 9.5	 6.7
 31	XIAN        	BEIJING    	  7.3		   12	-1.7	 9.3
 32	HYDERABAD   	TRIVANDRUM 	  4.8		   12	13.1	 5.0
 33	SANWA       	WAKKANAI   	  5.0		  146	-2.1	 6.5
 34	BEIJING     	SHANGHAI   	  4.8		    9	 1.2	 4.8
 35	BEIJING     	SHANGHAI   	  5.0		   14	 5.1	 4.7
 36	BEIJING     	SHANGHAI   	  6.2		   39	 3.3	 6.4
