************************************************************************
	Comparison between CCIR Data Bank D1 and shipped-D1Comp():
		    ITU Above and Below the MUF
		        2026-09-24 07:15:02
************************************************************************
									Count	diff.		std

frequency group   2 -  5			 4030	-3.0	 9.3
frequency group > 5 - 10			 4004	 1.2	10.5
frequency group >10 - 15			 5270	-0.2	 9.0
frequency group >15 - 30			 2964	 2.6	11.9

distance      0 -   999 km 			 6439	-0.9	 9.3
distance   1000 -  1999 km 			 1144	 3.5	 8.6
distance   2000 -  2999 km 			  151	 1.5	 6.3
distance   3000 -  3999 km 			  975	 4.0	12.5
distance   4000 -  4999 km 			  126	 0.1	 6.9
distance   5000 -  6999 km 			 2785	-1.1	10.6
distance   7000 -  8999 km 			   59	-10.5	12.3
distance   9000 - 11999 km 			 2223	-0.9	11.1
distance  12000 - 14999 km 			  607	 1.0	10.2
distance  15000 - 17999 km 			 1093	 2.0	 8.6
distance  18000 - 21999 km 			    0	 0.0	 0.0
distance  22000 - 40000 km 			  666	-0.9	12.2

geom. lat.    0 - 20 deg. at midpt.	 2806	 1.2	10.4
geom. lat. > 20 - 40 deg. at midpt.	 4158	-3.2	 8.9
geom. lat. > 40 - 60 deg. at midpt.	 7188	 1.2	10.0
geom. lat.      > 60 deg. at midpt.	 2116	 0.3	11.6

sunspot number    0 -  14 			 1333	 0.6	 9.8
sunspot number   15 -  44 			 5229	 1.8	10.3
sunspot number   45 -  74 			 2969	-0.5	 9.7
sunspot number   75 - 104 			 2121	-2.9	 9.5
sunspot number  105 - 149 			 2789	-1.3	10.2
sunspot number      > 149 			 1827	 0.1	11.1

winter								 3915	 0.9	10.7
spring								 4016	 0.3	10.2
summer								 4169	-1.2	10.1
autumn								 4168	-0.1	 9.7

local time > 00 - 04 UTC at midpt.	 2867	 0.9	10.0
local time > 04 - 08 UTC at midpt.	 2280	 3.0	10.6
local time > 08 - 12 UTC at midpt.	 2244	 1.1	 9.3
local time > 12 - 16 UTC at midpt.	 2522	-2.0	11.1
local time > 16 - 20 UTC at midpt.	 3132	-2.5	10.1
local time > 20 - 24 UTC at midpt.	 3223	 0.1	 9.3

origin of data: Germany				10499	 1.6	10.4
origin of data: Japan				 4119	-4.1	 8.6
origin of data: China				  428	 2.1	 8.7
origin of data: India				  182	-3.7	11.9
origin of data: Deutsche Welle		  783	-1.2	10.1
origin of data: BBC/EBU				  161	-2.2	10.0
origin of data: Australia			   96	 0.8	 7.4

all distances < 7000 km 			11620	-0.0	10.0
all distances > 9000 km 			 4589	 0.0	10.7

all distances						16268	-0.1	10.2
 
************************************************************************

************************************************************************
 
 ID Transmitter		Receiver	Frequency	Count	diff.		std
 
  1	LUXEMBURG   	BOCKHACKEN 	  6.1		  127	-1.1	 9.3
  2	RANCHI      	CALCUTTA   	  3.3		    3	-7.3	 3.7
  3	SANWA       	AKITA      	  2.5		  372	-5.8	 9.5
  4	SANWA       	AKITA      	  5.0		  380	-5.3	 7.7
  5	KOGANEI     	AKITA      	  2.5		  749	-7.9	 9.3
  6	KOGANEI     	AKITA      	  5.0		  768	-2.0	 6.4
  7	KURSEONG    	CALCUTTA   	  7.2		    4	-4.8	 2.6
  8	BRACKNELL   	NORDDEICH  	  3.3		  528	-2.5	 8.0
  9	BRACKNELL   	NORDDEICH  	  4.8		  336	-2.1	10.5
 10	BRACKNELL   	NORDDEICH  	  8.0		  336	-0.2	 9.6
 11	BRACKNELL   	NORDDEICH  	 11.1		  336	 3.4	 8.0
 12	BRACKNELL   	NORDDEICH  	 14.4		  336	 5.5	 5.9
 13	BRACKNELL   	NORDDEICH  	 18.3		  264	 6.0	 5.9
 14	BRACKNELL   	BOCKHACKEN 	  8.0		  131	 2.8	 9.3
 15	ALLOUIS     	BOCKHACKEN 	  6.2		  116	-6.7	 7.3
 16	OSLO        	NORDDEICH  	  6.4		  120	-3.3	 7.5
 17	OSLO        	NORDDEICH  	 12.7		  120	 2.4	 8.4
 18	OSLO        	NORDDEICH  	 17.1		  120	 1.0	 9.2
 19	OSLO        	NORDDEICH  	 22.4		   55	 0.6	 5.8
 20	OSLO        	LUECHOW    	  6.4		   24	 5.1	 2.9
 21	OSLO        	LUECHOW    	 12.9		   24	21.0	11.4
 22	OSLO        	LUECHOW    	 16.9		   24	16.6	 6.3
 23	OSLO        	LUECHOW    	 22.4		   17	-9.6	 5.3
 24	BRACKNELL   	LUECHOW    	  2.6		  182	 2.8	 5.8
 25	BRACKNELL   	LUECHOW    	  4.8		  216	 2.4	 7.3
 26	BRACKNELL   	LUECHOW    	  8.0		  144	-0.7	 5.8
 27	BRACKNELL   	LUECHOW    	  9.2		   96	 6.4	 8.4
 28	BRACKNELL   	LUECHOW    	 11.1		  144	-0.0	 7.7
 29	BRACKNELL   	LUECHOW    	 14.4		  192	 1.9	 8.8
 30	BRACKNELL   	LUECHOW    	 18.3		  151	 8.4	 6.6
 31	XIAN        	BEIJING    	  7.3		   12	-3.2	 8.9
 32	HYDERABAD   	TRIVANDRUM 	  4.8		   12	10.4	 4.5
 33	SANWA       	WAKKANAI   	  5.0		  146	-2.5	 7.3
 34	BEIJING     	SHANGHAI   	  4.8		    9	 0.2	 4.8
 35	BEIJING     	SHANGHAI   	  5.0		   14	 3.4	 4.8
